record_type,comparison,condition,true_class,count,mean,median,p05,p25,p75,p95,mean_delta,median_delta,p05_delta,p25_delta,p75_delta,p95_delta,threshold_cross_up_count,threshold_cross_up_fraction,threshold_cross_down_count,threshold_cross_down_fraction
prob_patient_distribution,RGB_B2MH_vs_RGB,RGB,all cases,500,0.651406956782,0.76824563,0.10088164500000002,0.3927509725,0.91554533,0.9786760235,,,,,,,,,,
prob_patient_distribution,RGB_B2MH_vs_RGB,RGB,Control,115,0.37465384099130444,0.3457038,0.064532339,0.19295248,0.52860409,0.84293582,,,,,,,,,,
prob_patient_distribution,RGB_B2MH_vs_RGB,RGB,Patient,385,0.7340734718883116,0.8513209,0.143808022,0.60408264,0.9397235,0.9828349399999999,,,,,,,,,,
prob_patient_distribution,RGB_B2MH_vs_RGB,RGB_B2MH,all cases,500,0.693753612054,0.8231729000000001,0.14379213900000004,0.4483802475,0.9477145499999999,0.98783608,,,,,,,,,,
prob_patient_distribution,RGB_B2MH_vs_RGB,RGB_B2MH,Control,115,0.4273570034608695,0.38144913,0.090421124,0.246840235,0.61463612,0.83134537,,,,,,,,,,
prob_patient_distribution,RGB_B2MH_vs_RGB,RGB_B2MH,Patient,385,0.7733266250103896,0.9060928,0.18943766200000003,0.63000476,0.9603471,0.9884031,,,,,,,,,,
delta_and_threshold_crossing,RGB_B2MH_vs_RGB,RGB_B2MH,all cases,500,,,,,,,0.042346655271999996,0.02924874999999999,-0.2758940669999999,-0.02806628499999997,0.12387815499999999,0.33457817999999995,51.0,0.102,31.0,0.062
delta_and_threshold_crossing,RGB_B2MH_vs_RGB,RGB_B2MH,Control,115,,,,,,,0.05270316246956521,0.07054179999999999,-0.38569433200000003,-0.0943543575,0.223036235,0.44238130299999995,23.0,0.2,14.0,0.12173913043478261
delta_and_threshold_crossing,RGB_B2MH_vs_RGB,RGB_B2MH,Patient,385,,,,,,,0.03925315312207792,0.02486113000000001,-0.240412762,-0.02113144,0.10077126999999997,0.31260815799999986,28.0,0.07272727272727272,17.0,0.04415584415584416
prob_patient_distribution,RGB_B1MH_vs_RGB,RGB,all cases,500,0.651406956782,0.76824563,0.10088164500000002,0.3927509725,0.91554533,0.9786760235,,,,,,,,,,
prob_patient_distribution,RGB_B1MH_vs_RGB,RGB,Control,115,0.37465384099130444,0.3457038,0.064532339,0.19295248,0.52860409,0.84293582,,,,,,,,,,
prob_patient_distribution,RGB_B1MH_vs_RGB,RGB,Patient,385,0.7340734718883116,0.8513209,0.143808022,0.60408264,0.9397235,0.9828349399999999,,,,,,,,,,
prob_patient_distribution,RGB_B1MH_vs_RGB,RGB_B1MH,all cases,500,0.662765435316,0.7562173249999999,0.14568503300000002,0.43354180999999997,0.92127925,0.98114662,,,,,,,,,,
prob_patient_distribution,RGB_B1MH_vs_RGB,RGB_B1MH,Control,115,0.43382950961739125,0.42999277,0.077030267,0.212977065,0.63649955,0.8476673299999999,,,,,,,,,,
prob_patient_distribution,RGB_B1MH_vs_RGB,RGB_B1MH,Patient,385,0.7311488936415584,0.83152544,0.17916508400000003,0.57512724,0.94244874,0.9825605279999999,,,,,,,,,,
delta_and_threshold_crossing,RGB_B1MH_vs_RGB,RGB_B1MH,all cases,500,,,,,,,0.011358478533999995,0.003783794999999951,-0.270884868,-0.0790193125,0.09067287499999999,0.3031785129999999,39.0,0.078,26.0,0.052
delta_and_threshold_crossing,RGB_B1MH_vs_RGB,RGB_B1MH,Control,115,,,,,,,0.059175668626086954,0.06211679999999997,-0.319207678,-0.09977333999999999,0.220338115,0.4615575149999998,22.0,0.19130434782608696,11.0,0.09565217391304348
delta_and_threshold_crossing,RGB_B1MH_vs_RGB,RGB_B1MH,Patient,385,,,,,,,-0.0029245782467532517,-0.002180789999999988,-0.258228264,-0.07701710000000006,0.06971833,0.2400266259999998,17.0,0.04415584415584416,15.0,0.03896103896103896
