comparison,metric,pooled_oof_absolute_difference,fold_delta_mean,fold_delta_sd
MH_LRTM_minus_RGB,macro_auc,-0.027419536984754522,-0.014229249011857714,0.046504903757991406
MH_LRTM_minus_RGB,accuracy,-0.026000000000000023,-0.025999999999999978,0.0439317652729776
MH_LRTM_minus_RGB,macro_precision,-0.03181856227477353,-0.037215559504809946,0.06935050407170949
MH_LRTM_minus_RGB,macro_recall,-0.041276115189158746,-0.041276115189158726,0.15564934652693807
MH_LRTM_minus_RGB,macro_f1,-0.034736105679310514,-0.031536139194834625,0.10023023023070858
MH_LRTM_minus_RGB,balanced_accuracy,-0.041276115189158746,-0.041276115189158726,0.15564934652693807
MH_LRTM_minus_RGB,sensitivity,-0.012987012987012991,-0.012987012987013014,0.12889242364467013
MH_LRTM_minus_RGB,specificity,-0.06956521739130439,-0.06956521739130432,0.42220950908905097
MH_LRF_minus_LATE_CONCAT,macro_auc,-0.016036137775268244,-0.0030491247882551862,0.01629001132092465
MH_LRF_minus_LATE_CONCAT,accuracy,-0.016000000000000014,-0.016000000000000014,0.027018512172212617
MH_LRF_minus_LATE_CONCAT,macro_precision,-0.019387537543926858,-0.017326860564493906,0.04533759005051507
MH_LRF_minus_LATE_CONCAT,macro_recall,-0.01953698475437604,-0.019536984754376062,0.08142935628465614
MH_LRF_minus_LATE_CONCAT,macro_f1,-0.019724020010806975,-0.026474433818573794,0.05638825295196009
MH_LRF_minus_LATE_CONCAT,balanced_accuracy,-0.01953698475437604,-0.019536984754376062,0.08142935628465614
MH_LRF_minus_LATE_CONCAT,sensitivity,-0.012987012987012991,-0.012987012987013036,0.07846133749087382
MH_LRF_minus_LATE_CONCAT,specificity,-0.026086956521739202,-0.02608695652173911,0.22924219698198378
MH_LRTM_minus_MH_LRF,macro_auc,0.005239977413890373,0.003162055335968317,0.011423582201700798
MH_LRTM_minus_MH_LRF,accuracy,-0.0020000000000000018,-0.0020000000000000018,0.03271085446759228
MH_LRTM_minus_MH_LRF,macro_precision,0.011865650460969213,0.010735439408499192,0.01720629435048426
MH_LRTM_minus_MH_LRF,macro_recall,0.032241671372106095,0.03224167137210614,0.03048562697840477
MH_LRTM_minus_MH_LRF,macro_f1,0.015772752422138492,0.01850978189356296,0.02777289254365548
MH_LRTM_minus_MH_LRF,balanced_accuracy,0.032241671372106095,0.03224167137210614,0.03048562697840477
MH_LRTM_minus_MH_LRF,sensitivity,-0.03116883116883118,-0.03116883116883116,0.06908797962737863
MH_LRTM_minus_MH_LRF,specificity,0.09565217391304348,0.09565217391304348,0.11254068787430252
MH_LRTM_minus_LATE_CONCAT,macro_auc,-0.010796160361377871,0.00011293054771313037,0.023138364145141973
MH_LRTM_minus_LATE_CONCAT,accuracy,-0.018000000000000016,-0.018000000000000016,0.017888543819998333
MH_LRTM_minus_LATE_CONCAT,macro_precision,-0.007521887082957646,-0.006591421155994715,0.03855821028994301
MH_LRTM_minus_LATE_CONCAT,macro_recall,0.012704686617730054,0.012704686617730077,0.08902104555611501
MH_LRTM_minus_LATE_CONCAT,macro_f1,-0.003951267588668483,-0.007964651925010835,0.06333960309493727
MH_LRTM_minus_LATE_CONCAT,balanced_accuracy,0.012704686617730054,0.012704686617730077,0.08902104555611501
MH_LRTM_minus_LATE_CONCAT,sensitivity,-0.04415584415584417,-0.04415584415584419,0.07029801871545119
MH_LRTM_minus_LATE_CONCAT,specificity,0.06956521739130428,0.06956521739130436,0.2432452300991194
MH_LRTM_minus_RGB_B2MH,macro_auc,-0.030468661773009664,-0.013325804630152472,0.032285597341612744
MH_LRTM_minus_RGB_B2MH,accuracy,-0.030000000000000027,-0.030000000000000027,0.03162277660168382
MH_LRTM_minus_RGB_B2MH,macro_precision,-0.026478926420431703,-0.02514759672240041,0.04389090642919618
MH_LRTM_minus_RGB_B2MH,macro_recall,-0.01643139469226429,-0.01643139469226431,0.06939327162646686
MH_LRTM_minus_RGB_B2MH,macro_f1,-0.02622615902323755,-0.0335652000901272,0.055403144918285234
MH_LRTM_minus_RGB_B2MH,balanced_accuracy,-0.01643139469226429,-0.01643139469226431,0.06939327162646686
MH_LRTM_minus_RGB_B2MH,sensitivity,-0.04155844155844157,-0.04155844155844157,0.06255373807164831
MH_LRTM_minus_RGB_B2MH,specificity,0.008695652173912993,0.00869565217391306,0.18031688133328452
MH_LRTM_minus_B2_H_ONLY,macro_auc,-0.028481084133258117,-0.019424054206662978,0.037625960521541935
MH_LRTM_minus_B2_H_ONLY,accuracy,-0.028000000000000025,-0.02799999999999998,0.06260990336999411
MH_LRTM_minus_B2_H_ONLY,macro_precision,-0.02261600102465966,-0.06355919455179553,0.13365624441870522
MH_LRTM_minus_B2_H_ONLY,macro_recall,-0.009034443817052651,-0.009034443817052517,0.052967617249947946
MH_LRTM_minus_B2_H_ONLY,macro_f1,-0.021322631616749188,-0.021913160015361876,0.05590452946310274
MH_LRTM_minus_B2_H_ONLY,balanced_accuracy,-0.009034443817052651,-0.009034443817052517,0.052967617249947946
MH_LRTM_minus_B2_H_ONLY,sensitivity,-0.04415584415584417,-0.04415584415584417,0.08740944763877316
MH_LRTM_minus_B2_H_ONLY,specificity,0.02608695652173909,0.026086956521739167,0.10009447333235945
