accuracy,balanced_accuracy,inner_best_macro_auc,macro_auc,macro_f1,macro_precision,macro_recall,model_name,outer_fold,selected_epoch,selection_epochs_run,sensitivity,specificity
0.76,0.6764539808018069,0.8757549611734253,0.8023715415019763,0.6710526315789473,0.6666666666666667,0.6764539808018069,LATE_CONCAT,0,19,29,0.8311688311688312,0.5217391304347826
0.77,0.7286843591191418,0.8654012079378774,0.8277809147374364,0.7047875754075215,0.6928571428571428,0.7286843591191418,LATE_CONCAT,1,1,11,0.8051948051948052,0.6521739130434783
0.78,0.6284584980237153,0.8757549611734253,0.8283455674760022,0.6426250812215724,0.6784313725490196,0.6284584980237153,LATE_CONCAT,2,3,13,0.9090909090909091,0.34782608695652173
0.76,0.7221908526256353,0.8326143226919758,0.8170525127046867,0.69558599695586,0.6839644693782141,0.7221908526256353,LATE_CONCAT,3,3,13,0.7922077922077922,0.6521739130434783
0.78,0.7504234895539243,0.912855910267472,0.8594014680971203,0.7209538305428715,0.7073398784478728,0.7504234895539243,LATE_CONCAT,4,8,18,0.8051948051948052,0.6956521739130435
0.76,0.6307171089779785,0.8610871440897325,0.7995482778091474,0.6383363471971066,0.6504223521767382,0.6307171089779785,MH_LRF,0,7,17,0.8701298701298701,0.391304347826087
0.73,0.5807453416149069,0.8550474547023296,0.8277809147374365,0.5858260469397147,0.5968834688346883,0.5807453416149069,MH_LRF,1,1,11,0.8571428571428571,0.30434782608695654
0.78,0.6589497459062676,0.8826574633304574,0.8464144551101072,0.6684749849306811,0.6829109811565952,0.6589497459062676,MH_LRF,2,6,16,0.8831168831168831,0.43478260869565216
0.77,0.7286843591191418,0.82053494391717,0.8142292490118578,0.7047875754075215,0.6928571428571428,0.7286843591191418,MH_LRF,3,4,14,0.8051948051948052,0.6521739130434783
0.73,0.8094297007340485,0.907679033649698,0.8317334839073971,0.7052079921388797,0.719551282051282,0.8094297007340485,MH_LRF,4,3,13,0.6623376623376623,0.9565217391304348
0.74,0.6939582156973462,0.8800690250215703,0.7888198757763976,0.6702181633688482,0.6605890603085554,0.6939582156973462,MH_LRTM,0,4,14,0.7792207792207793,0.6086956521739131
0.75,0.5937323546019198,0.8403796376186365,0.8232636928289101,0.6018474279343845,0.6235119047619048,0.5937323546019198,MH_LRTM,1,1,11,0.8831168831168831,0.30434782608695654
0.79,0.7264257481648786,0.8990509059534081,0.8622247317899492,0.7161778618732261,0.7084199584199584,0.7264257481648786,MH_LRTM,2,13,23,0.8441558441558441,0.6086956521739131
0.72,0.7419536984754376,0.8334771354616047,0.8277809147374364,0.6783088235294117,0.677139313766019,0.7419536984754376,MH_LRTM,3,2,12,0.7012987012987013,0.782608695652174
0.76,0.8136645962732919,0.9214840379637619,0.8334274421230943,0.728629579375848,0.726642186862505,0.8136645962732919,MH_LRTM,4,14,24,0.7142857142857143,0.9130434782608695
